id	sp_tag	sp_sp	sp_other	sp_csposition	tm_expaa	tm_first60	tm_predhel	tm_topology	tm_spcleaved	sl_location	sl_membrane	sl_nucleus	sl_cytoplasm	sl_extracellular	sl_mitochondrion	sl_cell_membrane	sl_ER	sl_plastid	sl_golgi	sl_lyso_vac	sl_peroxysome	seq_len	mol_wt	instab_idx	mean_vihinen_flex	mean_kd_hydro	mean_rose_hydro	gravy	isoelec_point	charge_at_pH	molar_ext_coef	tiny	small	aliphatic	aromatic	non_polar	polar	charged	basic	acidic	helix	turn	sheet	spp
Minc3s00001g00059	OTHER	0.000372	0.999628		0.07	0.0	0	o	0	Cytoplasm	0.0386	0.1202	0.6392	0.0296	0.0108	0.0256	0.0065	0.0249	0.0088	0.1054	0.0291	340	37506.822100000056	43.61999999999998	0.9960380161127896	-0.2368869936034115	0.7314328358208955	-0.2411764705882357	5.711204719543457	-7.928324040147089	55180	0.3676470588235294	0.5176470588235295	0.2676470588235294	0.1088235294117647	0.5176470588235295	0.4823529411764706	0.2352941176470588	0.1205882352941176	0.1147058823529411	0.2647058823529411	0.238235294117647	0.2323529411764706	minc
Minc3s00002g00155	OTHER	0.000999	0.999001		0.0	0.0	0	o	0	Nucleus	0.0472	0.9843	0.0153	0.0	0.0001	0.0002	0.0	0.0	0.0	0.0	0.0	202	22743.032400000004	55.74158415841587	1.017018134715026	-1.1460478607686728	0.6902465554749818	-1.1089108910891097	9.942459297180177	14.148824734197731	10220	0.3168316831683168	0.3514851485148515	0.1782178217821782	0.0693069306930693	0.3514851485148515	0.6485148514851486	0.2871287128712871	0.1881188118811881	0.099009900990099	0.1881188118811881	0.3069306930693069	0.1732673267326732	minc
Minc3s00006g00398	OTHER	0.000677	0.999323		0.0	0.0	0	o	0	Cytoplasm	0.0227	0.1325	0.8073	0.0061	0.0051	0.0073	0.0025	0.0014	0.0021	0.0221	0.0135	276	31238.35660000001	49.30905797101449	1.0032422864276798	-0.346178176067475	0.7241750131787031	-0.3242753623188409	4.922336387634277	-11.924758083919317	13325	0.2536231884057971	0.5253623188405797	0.2355072463768115	0.1050724637681159	0.5253623188405797	0.4746376811594203	0.2608695652173913	0.1159420289855072	0.144927536231884	0.2971014492753623	0.2355072463768115	0.25	minc
Minc3s00006g00399	OTHER	0.000419	0.999581		0.0	0.0	0	o	0	Nucleus	0.1974	0.8873	0.0891	0.0001	0.0001	0.0214	0.0002	0.0	0.0014	0.0001	0.0003	588	65122.340800000144	48.44780612244915	1.011485442881816	-0.7774810095564813	0.7071453075226659	-0.7688775510204066	5.618045616149902	-15.655442687132776	44390	0.2993197278911564	0.4523809523809524	0.227891156462585	0.0901360544217687	0.4523809523809524	0.5476190476190477	0.2772108843537415	0.1394557823129251	0.1377551020408163	0.2329931972789115	0.3010204081632653	0.2346938775510204	minc
Minc3s00006g00405	OTHER	0.000281	0.999719		0.19	0.0	0	o	0	Cytoplasm	0.0406	0.214	0.7217	0.0002	0.0007	0.0127	0.0044	0.0005	0.0304	0.0148	0.0008	1296	147664.9299000006	54.89369598765466	1.0077971195471196	-0.5616576297443843	0.7127321013610711	-0.5645061728395052	5.0798372268676735	-59.49164451514895	91970	0.2515432098765432	0.4552469135802469	0.2692901234567901	0.0918209876543209	0.4552469135802469	0.5447530864197532	0.3016975308641975	0.1396604938271605	0.162037037037037	0.2785493827160494	0.2067901234567901	0.2962962962962963	minc
Minc3s00006g00420	OTHER	0.000376	0.999624		0.0	0.0	0	o	0	Mitochondrion	0.1624	0.0044	0.0325	0.0004	0.9384	0.0001	0.0012	0.0202	0.0017	0.0002	0.001	151	17393.862799999988	25.60132450331125	1.0025010060362174	-0.2895303326810176	0.7243639921722114	-0.3026490066225165	7.775934791564941	0.2564140565314545	7115	0.2251655629139073	0.5033112582781457	0.2251655629139073	0.152317880794702	0.5033112582781457	0.4966887417218543	0.3112582781456953	0.1721854304635761	0.1390728476821192	0.3245033112582781	0.2317880794701987	0.2052980132450331	minc
Minc3s00009g00625	OTHER	0.000918	0.999082		0.01	0.0	0	o	0	Cytoplasm	0.0155	0.2428	0.7237	0.0001	0.0008	0.0067	0.0014	0.0002	0.0185	0.0056	0.0003	578	65709.37450000009	48.7735294117648	1.0099636580466986	-0.7161555721765146	0.7073797058090252	-0.715224913494809	5.7802640914916985	-11.899430083893336	40630	0.2439446366782006	0.4498269896193771	0.2716262975778546	0.0795847750865051	0.4498269896193771	0.5501730103806228	0.3044982698961938	0.1539792387543252	0.1505190311418685	0.2474048442906574	0.2145328719723183	0.2802768166089965	minc
Minc3s00009g00626	OTHER	0.002367	0.997633		0.02	0.0	0	o	0	Nucleus	0.1677	0.9259	0.0671	0.0002	0.0046	0.001	0.0	0.0	0.0009	0.0002	0.0	274	31231.16749999999	64.34379562043793	1.006097933513028	-0.8975570897503983	0.7105045140732873	-0.8558394160583932	6.278742027282715	-4.424367197414917	19940	0.2043795620437956	0.4781021897810219	0.1605839416058394	0.0875912408759124	0.4781021897810219	0.5218978102189781	0.1021897810218978	0.0656934306569343	0.0364963503649635	0.1642335766423358	0.3357664233576642	0.2226277372262773	minc
Minc3s00011g00723	OTHER	0.000843	0.999157		2.33	0.08	0	o	0	Cytoplasm	0.084	0.0521	0.448	0.004	0.3406	0.0025	0.0174	0.0104	0.0369	0.0685	0.0197	427	48562.32110000004	45.6	1.0057154249259517	-0.2331415030467163	0.7206161137440759	-0.2313817330210777	5.151397514343261	-14.851858175031154	29130	0.2154566744730679	0.5058548009367682	0.3091334894613582	0.0936768149882904	0.5058548009367682	0.4941451990632318	0.2810304449648712	0.1311475409836065	0.1498829039812646	0.3419203747072599	0.2271662763466042	0.2693208430913348	minc
Minc3s00014g00955	OTHER	0.000286	0.999714		0.08	0.01	0	o	0	Cytoplasm	0.0718	0.1282	0.649	0.0081	0.0238	0.021	0.019	0.018	0.0291	0.0537	0.0501	1097	123067.0161000004	38.74831358249793	0.9965440082282911	-0.2266352694924123	0.7283699633699633	-0.2318140382862346	6.338479804992676	-13.58308416047177	115070	0.2743846855059252	0.536007292616226	0.317228805834093	0.1175934366453965	0.536007292616226	0.4639927073837739	0.2306289881494986	0.1276207839562443	0.1030082041932543	0.3053783044667274	0.2178669097538741	0.2743846855059252	minc
Minc3s00015g01013	OTHER	0.000815	0.999185		0.09	0.0	0	o	0	Cytoplasm	0.0154	0.0168	0.836	0.0013	0.0122	0.0049	0.0021	0.0076	0.0005	0.0071	0.1116	550	59332.77970000014	37.58745454545456	1.0016008714021654	-0.0201048492791612	0.7248466579292268	-0.0061818181818182	5.747354316711426	-7.019207602064142	22515	0.3163636363636363	0.5636363636363636	0.3563636363636364	0.069090909090909	0.5636363636363636	0.4363636363636363	0.2363636363636363	0.1181818181818182	0.1181818181818181	0.2909090909090909	0.2036363636363636	0.3127272727272727	minc
Minc3s00015g01017	OTHER	0.003529	0.996471		0.01	0.0	0	o	0	Cytoplasm	0.0416	0.1615	0.7984	0.0005	0.0004	0.0299	0.0007	0.0003	0.0027	0.0026	0.0029	1300	142506.69980000047	56.59164615384653	1.0087592858987129	-0.6535024820739107	0.7073778268063983	-0.6547692307692323	9.005798149108887	16.276948639898166	89005	0.3207692307692307	0.46	0.2353846153846154	0.0861538461538461	0.46	0.54	0.1930769230769231	0.1123076923076923	0.0807692307692307	0.243076923076923	0.3346153846153846	0.2007692307692307	minc
Minc3s00015g01030	OTHER	0.00248	0.99752		0.36	0.36	0	o	0	Cytoplasm	0.0638	0.1458	0.5718	0.0045	0.1041	0.0093	0.0065	0.0032	0.0345	0.1144	0.006	131	14697.97459999998	42.13740458015266	0.998191549570648	0.0178004535147392	0.7318594104308388	-0.0053435114503815	6.279992485046387	-1.727462120429081	2980	0.2290076335877862	0.5419847328244275	0.3511450381679389	0.0763358778625954	0.5419847328244275	0.4580152671755725	0.2748091603053435	0.1450381679389313	0.1297709923664122	0.3282442748091603	0.1984732824427481	0.2595419847328244	minc
Minc3s00016g01070	OTHER	0.000288	0.999712		8.69	8.69	0	o	0	Mitochondrion	0.9568	0.0041	0.0171	0.0	0.9499	0.0002	0.0054	0.0086	0.0001	0.0001	0.0144	104	12063.690199999995	29.648076923076907	0.999443984962406	-0.42005772005772	0.7272294372294372	-0.398076923076923	6.287097358703614	-2.6011276441987032	15470	0.2115384615384615	0.5288461538461539	0.3076923076923077	0.1442307692307692	0.5288461538461539	0.4711538461538461	0.3269230769230769	0.1826923076923077	0.1442307692307692	0.3173076923076923	0.173076923076923	0.2884615384615384	minc
Minc3s00019g01192	OTHER	0.000436	0.999564		0.09	0.0	0	o	0	Cytoplasm	0.0689	0.2983	0.5204	0.0033	0.0104	0.0208	0.0052	0.0023	0.0783	0.0272	0.0338	300	33593.75300000006	41.20733333333333	1.000797169039437	-0.273317191283293	0.7223535108958838	-0.2760000000000001	5.071197700500488	-10.753177101803477	60055	0.2566666666666666	0.5499999999999999	0.32	0.1033333333333333	0.5499999999999999	0.45	0.2366666666666667	0.11	0.1266666666666666	0.3166666666666666	0.2166666666666666	0.2566666666666666	minc
Minc3s00019g01195	OTHER	0.00047	0.99953		0.0	0.0	0	o	0	Nucleus	0.0753	0.8904	0.1025	0.0001	0.0003	0.0026	0.0003	0.0006	0.0013	0.001	0.0008	723	81930.61340000051	52.04734439834034	1.008939809257036	-0.6443294866693194	0.7112773577397532	-0.6360995850622391	6.332625389099121	-7.286580512253622	57100	0.280774550484094	0.4467496542185338	0.2254495159059474	0.0982019363762102	0.4467496542185338	0.553250345781466	0.289073305670816	0.1521438450899031	0.1369294605809128	0.2586445366528354	0.2655601659751037	0.226832641770401	minc
Minc3s00019g01236	OTHER	0.000594	0.999406		0.06	0.0	0	o	0	Cytoplasm	0.0058	0.0055	0.7368	0.0015	0.0039	0.0012	0.0015	0.0051	0.0003	0.0186	0.2257	290	31606.64050000001	23.505862068965502	0.9983724792408069	-0.041453634085213	0.7306065162907268	-0.0293103448275861	5.521191978454589	-8.697101331105774	25690	0.3275862068965517	0.5655172413793105	0.3206896551724138	0.1172413793103448	0.5655172413793105	0.4344827586206896	0.2482758620689655	0.1241379310344827	0.1241379310344827	0.3068965517241379	0.2206896551724138	0.2689655172413793	minc
Minc3s00019g01256	OTHER	0.00131	0.99869		0.32	0.0	0	o	0	Cytoplasm	0.0555	0.3809	0.5569	0.0004	0.0036	0.0071	0.0051	0.0009	0.0335	0.0104	0.0011	869	100497.1950000006	47.59265822784827	1.0007040420819493	-0.4053240740740741	0.7219560185185185	-0.4086306098964309	6.360988044738768	-7.974745021450033	67950	0.2543153049482163	0.4683544303797468	0.2761795166858458	0.1196777905638665	0.4683544303797468	0.5316455696202532	0.2784810126582278	0.1472957422324511	0.1311852704257767	0.3118527042577675	0.1956271576524741	0.2692750287686996	minc
Minc3s00021g01323	OTHER	0.005313	0.994687		1.47	1.47	0	o	0	Cytoplasm	0.2591	0.0869	0.5251	0.0346	0.0404	0.0622	0.0824	0.0103	0.0556	0.0553	0.0472	281	31455.157900000035	45.38469750889681	1.0087790178571427	-0.825983436853002	0.7069720496894409	-0.8274021352313168	7.026515769958496	-0.663068367113528	50420	0.3060498220640569	0.4412811387900355	0.1886120996441281	0.1209964412811387	0.4412811387900355	0.5587188612099644	0.199288256227758	0.1103202846975089	0.0889679715302491	0.2526690391459074	0.3629893238434163	0.1672597864768683	minc
Minc3s00022g01379	OTHER	0.00079	0.99921		0.28	0.01	0	o	0	Cytoplasm	0.0601	0.3567	0.5378	0.0024	0.0382	0.0147	0.0072	0.0021	0.0071	0.0055	0.0283	306	35152.3557	45.96212418300652	1.0009680134680137	-0.193735168485999	0.7247176079734219	-0.2163398692810458	9.02049694061279	7.025797531307077	28795	0.2352941176470588	0.5196078431372549	0.2777777777777778	0.1209150326797385	0.5196078431372549	0.4803921568627451	0.2581699346405229	0.1470588235294117	0.1111111111111111	0.349673202614379	0.2320261437908496	0.2450980392156863	minc
Minc3s00022g01387	OTHER	0.000884	0.999116		0.61	0.01	0	o	0	Cytoplasm	0.0559	0.3515	0.5295	0.0023	0.0189	0.0206	0.0084	0.0012	0.0123	0.0365	0.0187	166	18835.706600000005	46.80421686746987	0.9981555959963604	0.0468500443655723	0.7339751552795031	0.0487951807228916	6.727940559387207	-0.9150722976707436	10345	0.2228915662650602	0.5542168674698795	0.3253012048192771	0.1024096385542168	0.5542168674698795	0.4457831325301205	0.2409638554216867	0.1265060240963855	0.1144578313253012	0.3795180722891565	0.2469879518072289	0.2650602409638554	minc
Minc3s00022g01388	OTHER	0.001081	0.998919		4.92	4.92	0	i	0	Mitochondrion	0.6995	0.0223	0.0311	0.0091	0.9247	0.002	0.0024	0.0	0.0066	0.0003	0.0014	55	6822.048999999999	57.823818181818176	0.9956154244306418	-0.4262857142857143	0.7210857142857142	-0.3981818181818179	10.073716926574708	6.209511513074071	13980	0.1636363636363636	0.4909090909090909	0.2363636363636363	0.1818181818181818	0.4909090909090909	0.509090909090909	0.3090909090909091	0.2181818181818181	0.0909090909090909	0.3999999999999999	0.1272727272727272	0.2545454545454545	minc
Minc3s00022g01415	OTHER	0.000271	0.999729		0.04	0.0	0	o	0	Cytoplasm	0.0706	0.1813	0.6186	0.0066	0.0167	0.0245	0.0097	0.0544	0.009	0.0278	0.0513	508	58274.67490000007	43.21029527559056	1.0044568661131787	-0.5393922181198523	0.7164299914796933	-0.5440944881889763	6.409926414489747	-3.958143819922924	58620	0.2559055118110236	0.4763779527559055	0.2480314960629921	0.108267716535433	0.4763779527559055	0.5236220472440944	0.2893700787401574	0.1515748031496063	0.1377952755905512	0.2795275590551181	0.2106299212598425	0.2283464566929133	minc
Minc3s00023g01471	OTHER	0.001059	0.998941		0.61	0.48	0	o	0	Mitochondrion	0.7921	0.0094	0.0317	0.007	0.9252	0.0005	0.0031	0.0001	0.0006	0.0002	0.0222	67	8314.573099999996	50.176119402985066	0.9867112068965518	-0.4785714285714285	0.7376497695852534	-0.3462686567164183	9.73577365875244	3.310465863371028	5960	0.1492537313432835	0.5671641791044775	0.2388059701492537	0.2537313432835821	0.5671641791044775	0.4328358208955223	0.2985074626865671	0.208955223880597	0.0895522388059701	0.373134328358209	0.1044776119402985	0.2388059701492537	minc
Minc3s00024g01586	OTHER	0.000236	0.999764		22.93	0.01	1	i128-150o	0	Mitochondrion	0.9409	0.0035	0.0281	0.0	0.7464	0.0042	0.034	0.0401	0.0009	0.0071	0.1355	153	17257.69059999998	51.017712418300654	0.998704943783069	-0.1276061776061776	0.7257625482625483	-0.1483660130718955	6.316596794128418	-1.7230839036565797	13410	0.261437908496732	0.5686274509803921	0.3790849673202614	0.1111111111111111	0.5686274509803921	0.4313725490196078	0.3137254901960784	0.1633986928104575	0.1503267973856209	0.3333333333333333	0.130718954248366	0.3529411764705882	minc
Minc3s00028g01742	OTHER	0.001247	0.998753		5.77	0.0	0	o	0	Mitochondrion	0.3236	0.0019	0.055	0.0028	0.6993	0.0011	0.0015	0.0448	0.0002	0.0005	0.1929	460	50062.211800000034	28.67152173913044	0.9986806831380002	-0.0453689167974882	0.7264364207221349	-0.0465217391304346	9.290039253234864	12.142540648708504	33265	0.3217391304347826	0.5652173913043478	0.3347826086956522	0.0978260869565217	0.5652173913043478	0.4347826086956521	0.2239130434782608	0.1347826086956521	0.0891304347826087	0.3021739130434783	0.2239130434782608	0.2760869565217391	minc
Minc3s00031g01891	OTHER	0.000298	0.999702		0.57	0.0	0	o	0	Cytoplasm	0.0472	0.0871	0.7282	0.0297	0.01	0.0489	0.008	0.0081	0.0032	0.0184	0.0584	271	30229.244200000023	44.45350553505535	0.997188158851327	-0.1252416756176154	0.7323147153598281	-0.13690036900369	5.9040025711059565	-4.966261294784466	11055	0.2730627306273062	0.5424354243542435	0.2952029520295203	0.1033210332103321	0.5424354243542435	0.4575645756457565	0.2509225092250922	0.1291512915129151	0.1217712177121771	0.3247232472324723	0.2287822878228782	0.2214022140221402	minc
Minc3s00032g01932	OTHER	0.000305	0.999695		0.02	0.01	0	o	0	Cytoplasm	0.0233	0.0326	0.7082	0.0097	0.0088	0.0188	0.0088	0.02	0.0035	0.0853	0.1043	419	46650.571400000044	30.086873508353207	1.0052477642276425	-0.3123533471359559	0.7185093167701864	-0.316229116945108	5.296223258972168	-9.864441797853305	33140	0.2768496420047732	0.5107398568019094	0.2983293556085919	0.0859188544152744	0.5107398568019094	0.4892601431980907	0.279236276849642	0.1336515513126491	0.1455847255369928	0.3031026252983294	0.2195704057279236	0.269689737470167	minc
Minc3s00032g01942	OTHER	0.00683	0.99317		0.01	0.0	0	o	0	Nucleus	0.1501	0.92	0.0569	0.0003	0.0046	0.0034	0.0085	0.0007	0.0045	0.0005	0.0006	535	59800.98330000013	34.91626168224297	1.0124092205323194	-0.5277358490566039	0.7047304582210243	-0.5229906542056078	8.515580558776854	4.099954990259377	36245	0.2822429906542056	0.4635514018691589	0.3158878504672897	0.0635514018691588	0.4635514018691589	0.5364485981308412	0.3420560747663552	0.1831775700934579	0.1588785046728972	0.2691588785046729	0.1700934579439252	0.3327102803738317	minc
Minc3s00034g02000	OTHER	0.000712	0.999288		0.0	0.0	0	o	0	Cytoplasm	0.0166	0.1579	0.7843	0.0051	0.0042	0.0065	0.0032	0.0015	0.0026	0.023	0.0117	279	31549.73320000001	51.72616487455196	1.0035951499118168	-0.3442127215849844	0.7235818561001042	-0.3225806451612907	4.922336387634277	-11.92787877132594	13325	0.2508960573476702	0.5268817204301075	0.2401433691756272	0.1039426523297491	0.5268817204301075	0.4731182795698925	0.2580645161290322	0.1146953405017921	0.1433691756272401	0.2974910394265233	0.2365591397849462	0.2580645161290322	minc
Minc3s00034g02026	OTHER	0.00077	0.99923		0.17	0.0	0	o	0	Mitochondrion	0.2652	0.1022	0.3424	0.0009	0.3772	0.0066	0.0228	0.0079	0.0163	0.0078	0.1158	588	67333.5104000001	47.59608843537428	1.002991035446994	-0.4398186718941436	0.7185861308502819	-0.4469387755102039	6.524798011779786	-4.6200341816435895	61685	0.2312925170068027	0.4965986394557822	0.2959183673469387	0.0986394557823129	0.4965986394557822	0.5034013605442177	0.3078231292517007	0.1649659863945578	0.1428571428571428	0.3027210884353741	0.1938775510204081	0.2755102040816327	minc
Minc3s00036g02141	OTHER	0.007291	0.992709		0.31	0.31	0	o	0	Mitochondrion	0.1821	0.0243	0.3056	0.0419	0.5097	0.0071	0.0324	0.0126	0.0064	0.0316	0.0285	175	20510.172499999982	38.30342857142856	1.001053858290304	-0.4917647058823529	0.721420168067227	-0.4794285714285715	5.698813819885253	-3.794328628501404	45505	0.2	0.5828571428571429	0.2571428571428572	0.1714285714285714	0.5828571428571429	0.4171428571428571	0.2971428571428571	0.1485714285714285	0.1485714285714285	0.3542857142857142	0.2228571428571428	0.2457142857142857	minc
Minc3s00037g02154	OTHER	0.001122	0.998878		0.05	0.05	0	o	0	Nucleus	0.1252	0.5104	0.4441	0.0015	0.0029	0.0194	0.0018	0.0006	0.0017	0.0009	0.0167	437	49383.90180000009	45.82839816933637	1.0005754339118824	-0.511441798941799	0.7224999999999999	-0.508009153318078	9.13157596588135	13.359181776759163	40060	0.2906178489702517	0.517162471395881	0.2494279176201372	0.137299771167048	0.517162471395881	0.482837528604119	0.2951945080091533	0.1876430205949656	0.1075514874141876	0.2791762013729977	0.2288329519450801	0.2494279176201373	minc
Minc3s00037g02169	OTHER	0.0383	0.9617		23.08	22.67	1	o4-26i	0	Endoplasmic_reticulum	0.9507	0.0056	0.0034	0.0034	0.0096	0.1502	0.6195	0.0129	0.1742	0.0209	0.0001	281	31829.21400000005	46.73985765124554	1.0019649859943978	-0.2510869565217391	0.723628364389234	-0.2434163701067616	5.394668388366699	-6.920131453918689	19980	0.2384341637010676	0.501779359430605	0.3096085409252669	0.0782918149466192	0.501779359430605	0.4982206405693951	0.2277580071174377	0.1103202846975088	0.1174377224199288	0.298932384341637	0.2313167259786476	0.3167259786476868	minc
Minc3s00038g02234	OTHER	0.001405	0.998595		0.0	0.0	0	o	0	Cytoplasm	0.0577	0.0716	0.6432	0.0002	0.2788	0.0002	0.0	0.0001	0.0	0.0	0.0058	162	18861.0446	50.4766049382716	1.00583255524432	-0.8177434030937216	0.7068880800727935	-0.7462962962962961	11.291137886047364	29.31119252706494	7450	0.1975308641975308	0.5061728395061729	0.2530864197530864	0.1234567901234567	0.5061728395061729	0.4938271604938271	0.3580246913580246	0.2901234567901234	0.0679012345679012	0.2839506172839506	0.2098765432098765	0.1728395061728395	minc
Minc3s00046g02520	OTHER	0.000783	0.999217		87.92	11.27	3	o169-191i218-240o265-287i	0	Mitochondrion	0.9923	0.0001	0.0008	0.0	0.7865	0.0035	0.0217	0.006	0.0003	0.0002	0.1809	359	40141.32290000003	34.68111420612813	0.9918274149659864	0.0326876513317191	0.7367271993543179	0.0086350974930362	10.031167793273926	20.331121346708244	49640	0.298050139275766	0.5877437325905291	0.3314763231197771	0.128133704735376	0.5877437325905291	0.4122562674094707	0.2311977715877437	0.1587743732590529	0.0724233983286908	0.350974930362117	0.2200557103064066	0.2562674094707521	minc
Minc3s00047g02559	OTHER	0.003497	0.996503		0.0	0.0	0	o	0	Cytoplasm	0.0562	0.2176	0.6737	0.0009	0.0014	0.0231	0.0059	0.0007	0.0404	0.0341	0.0022	530	59023.93760000018	38.74716981132078	1.008886184992231	-0.5666938775510204	0.7113251700680272	-0.547735849056603	4.907103538513183	-27.63848973724833	23295	0.2943396226415094	0.4264150943396226	0.2415094339622641	0.090566037735849	0.4264150943396226	0.5735849056603773	0.2622641509433962	0.1188679245283018	0.1433962264150943	0.2641509433962264	0.2792452830188679	0.2320754716981132	minc
Minc3s00054g02834	OTHER	0.003472	0.996528		0.07	0.0	0	o	0	Nucleus	0.0983	0.9243	0.075	0.0	0.0	0.0003	0.0001	0.0	0.0002	0.0	0.0	503	55623.07510000005	42.105964214711726	1.003969973009447	-0.3451233505450373	0.71907917383821	-0.3361829025844929	5.859270286560058	-7.008131608320845	30660	0.320079522862823	0.4592445328031809	0.2803180914512923	0.077534791252485	0.4592445328031809	0.5407554671968191	0.2266401590457256	0.1153081510934393	0.1113320079522862	0.2763419483101392	0.2703777335984095	0.2504970178926441	minc
Minc3s00055g02867	OTHER	0.008253	0.991747		21.73	0.0	1	o928-950i	0	Golgi_apparatus	0.9921	0.1056	0.0153	0.0003	0.0151	0.352	0.1399	0.0011	0.3643	0.0033	0.003	974	107341.46610000066	62.55011293634529	1.0067594127806565	-0.9274952086097598	0.709109538552263	-0.9303901437371664	9.317115974426269	16.316198777058915	132170	0.3521560574948665	0.4640657084188911	0.204312114989733	0.1180698151950718	0.4640657084188911	0.5359342915811088	0.2535934291581109	0.1601642710472279	0.0934291581108829	0.2012320328542094	0.3141683778234087	0.2073921971252566	minc
Minc3s00055g02868	OTHER	0.000809	0.999191		0.1	0.0	0	o	0	Peroxisome	0.2218	0.0998	0.2616	0.0052	0.0296	0.0381	0.0183	0.013	0.0047	0.0041	0.5256	474	51991.85599999997	35.745991561181405	0.9993003840245775	-0.1035333536399634	0.7274840085287845	-0.097257383966245	8.837664604187015	8.963766076190822	33765	0.2827004219409282	0.5548523206751056	0.3375527426160338	0.0654008438818565	0.5548523206751056	0.4451476793248946	0.2531645569620253	0.1476793248945147	0.1054852320675105	0.3164556962025316	0.2278481012658228	0.2362869198312236	minc
Minc3s00055g02887	OTHER	0.000529	0.999471		0.03	0.0	0	o	0	Cytoplasm	0.0446	0.0406	0.5444	0.0084	0.0183	0.012	0.0086	0.016	0.0026	0.0098	0.3392	362	39195.99790000006	32.901104972375684	1.0054263793336031	-0.3313325330132052	0.7165026010404162	-0.3386740331491721	7.605989265441895	0.1722583344630877	31775	0.3232044198895027	0.5359116022099448	0.3121546961325966	0.0828729281767955	0.5359116022099448	0.4640883977900552	0.2541436464088398	0.1381215469613259	0.1160220994475138	0.2762430939226519	0.2486187845303867	0.2679558011049723	minc
Minc3s00056g02917	OTHER	0.000894	0.999106		0.0	0.0	0	o	0	Cytoplasm	0.0745	0.2181	0.7163	0.0012	0.0052	0.039	0.0016	0.0025	0.0046	0.0033	0.0083	1090	119529.16890000096	54.82157798165172	1.0066586604114354	-0.5889269256089532	0.7103818301514154	-0.5869724770642191	9.3741060256958	21.420732604734752	73160	0.3128440366972477	0.4807339449541284	0.2504587155963302	0.0862385321100917	0.4807339449541284	0.5192660550458716	0.1889908256880734	0.1146788990825688	0.0743119266055045	0.255045871559633	0.326605504587156	0.2018348623853211	minc
Minc3s00056g02920	OTHER	0.000815	0.999185		0.08	0.0	0	o	0	Cytoplasm	0.0187	0.0214	0.8381	0.0016	0.0148	0.0064	0.0026	0.0093	0.0007	0.0094	0.0956	550	59285.61260000013	37.29218181818182	1.0021683390546607	-0.0327653997378768	0.7241494102228048	-0.0187272727272726	5.540687751770019	-9.0153459177982	21025	0.3181818181818181	0.5581818181818182	0.3545454545454545	0.0672727272727272	0.5581818181818182	0.4418181818181818	0.24	0.1181818181818182	0.1218181818181818	0.2890909090909091	0.2054545454545454	0.3090909090909091	minc
Minc3s00059g03028	OTHER	0.000153	0.999847		0.12	0.0	0	o	0	Cytoplasm	0.0183	0.1568	0.8121	0.0001	0.0005	0.0067	0.0021	0.0022	0.0027	0.0052	0.0115	570	63920.45380000021	59.75142105263176	0.9977542016806724	-0.188748419721871	0.7275524652338811	-0.19421052631579	8.395153617858888	3.088202798289444	58160	0.3	0.5280701754385966	0.3035087719298245	0.0947368421052631	0.5280701754385966	0.4719298245614035	0.243859649122807	0.1333333333333333	0.1105263157894737	0.3035087719298245	0.2385964912280702	0.2649122807017544	minc
