id	sp_tag	sp_sp	sp_other	sp_csposition	tm_expaa	tm_first60	tm_predhel	tm_topology	tm_spcleaved	sl_location	sl_membrane	sl_nucleus	sl_cytoplasm	sl_extracellular	sl_mitochondrion	sl_cell_membrane	sl_ER	sl_plastid	sl_golgi	sl_lyso_vac	sl_peroxysome	seq_len	mol_wt	instab_idx	mean_vihinen_flex	mean_kd_hydro	mean_rose_hydro	gravy	isoelec_point	charge_at_pH	molar_ext_coef	tiny	small	aliphatic	aromatic	non_polar	polar	charged	basic	acidic	helix	turn	sheet	spp
Minc3s00007g00481	OTHER	0.450817	0.549183		2.04	1.75	0	o	0	Extracellular	0.0032	0.0015	0.0375	0.8747	0.0399	0.0016	0.0141	0.0003	0.0007	0.0281	0.0017	603	65217.733100000194	27.039154228855725	0.9982782988616324	-0.1303631151457238	0.7277090301003345	-0.1409618573797678	8.795373344421389	6.986355735629587	70875	0.3383084577114428	0.5588723051409618	0.2769485903814261	0.1194029850746268	0.5588723051409618	0.4411276948590382	0.154228855721393	0.0895522388059701	0.0646766169154228	0.3134328358208955	0.3233830845771144	0.1608623548922056	minc
Minc3s00008g00574	SP(Sec/SPI)	0.984133	0.015867	CS pos: 21-22. VNS-LT. Pr: 0.9027	0.00	0.00	0	o	1	Extracellular	0.0065	0.0004	0.0128	0.6728	0.0016	0.0064	0.0644	0.0004	0.0047	0.2365	0.0	231	25557.4724	32.91000000000001	1.004434577434577	-0.5510745891276865	0.7166371681415928	-0.5809523809523812	6.92534236907959	-0.9737811099007664	49890	0.3073593073593074	0.5281385281385281	0.2207792207792208	0.1212121212121212	0.5281385281385281	0.4718614718614718	0.2207792207792208	0.1212121212121212	0.0995670995670995	0.2683982683982684	0.3116883116883117	0.1731601731601731	minc
Minc3s00011g00761	OTHER	0.000737	0.999263		0.00	0.00	0	o	0	Cytoplasm	0.0429	0.1739	0.6794	0.0004	0.0025	0.0078	0.0161	0.0031	0.0316	0.085	0.0004	179	20584.257000000005	22.28044692737429	1.0094938375350142	-0.4927750410509031	0.7145566502463054	-0.4446927374301681	4.753638267517089	-13.779709801866602	13075	0.2067039106145251	0.5027932960893854	0.2793296089385475	0.106145251396648	0.5027932960893854	0.4972067039106145	0.3575418994413408	0.1508379888268156	0.2067039106145251	0.3016759776536312	0.1396648044692737	0.3128491620111732	minc
Minc3s00013g00811	SP(Sec/SPI)	0.99921	0.00079	CS pos: 25-26. IEA-RA. Pr: 0.6526	0.00	0.00	0	i	1	Extracellular	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65	6988.198200000004	41.075538461538464	0.9845150935374152	0.6026190476190476	0.7597142857142857	0.6276923076923078	4.329562568664552	-4.047754423027589	3480	0.3846153846153846	0.6461538461538462	0.3230769230769231	0.0615384615384615	0.6461538461538462	0.3538461538461538	0.1692307692307692	0.0615384615384615	0.1076923076923077	0.3230769230769231	0.1692307692307692	0.2	minc
Minc3s00020g01281	SP(Sec/SPI)	0.998039	0.001961	CS pos: 25-26. VST-DN. Pr: 0.3942	20.62	20.62	1	i13-35o	1	Extracellular	0.0002	0.0	0.0	0.9872	0.0	0.0	0.0002	0.0	0.0	0.0125	0.0	87	9368.5528	50.80816091954021	0.9873243284493284	0.1285714285714285	0.7522996515679442	0.1137931034482761	8.208839988708494	1.014172008465044	16765	0.4482758620689655	0.7241379310344829	0.1494252873563218	0.2183908045977011	0.7241379310344829	0.2758620689655173	0.1149425287356321	0.0689655172413793	0.0459770114942528	0.3563218390804598	0.367816091954023	0.1494252873563218	minc
Minc3s00020g01295	SP(Sec/SPI)	0.996138	0.003862	CS pos: 22-23. LHA-GP. Pr: 0.8399	0.00	0.00	0	o	1	Extracellular	0.003	0.0003	0.0002	0.8752	0.0006	0.0005	0.1213	0.0	0.0003	0.0015	0.0	530	56845.46070000011	24.974150943396207	1.0230061923041769	-0.8632653061224489	0.6882585034013605	-0.8518867924528285	8.989874458312986	8.415762208762501	7115	0.269811320754717	0.4471698113207547	0.2811320754716981	0.0452830188679245	0.4471698113207547	0.5528301886792453	0.3320754716981132	0.1886792452830188	0.1433962264150943	0.2056603773584905	0.290566037735849	0.2679245283018868	minc
Minc3s00057g02969	SP(Sec/SPI)	0.994655	0.005345	CS pos: 22-23. VFG-KA. Pr: 0.5928	0.07	0.00	0	o	1	Endoplasmic_reticulum	0.1623	0.0024	0.0042	0.137	0.005	0.007	0.7799	0.0	0.0238	0.0405	0.0	572	67023.26210000007	57.94949300699312	1.0105492049395246	-0.8661375661375662	0.7069816074577979	-0.873426573426573	5.584396934509278	-20.451431785753485	50100	0.1748251748251748	0.4702797202797203	0.2377622377622377	0.1171328671328671	0.4702797202797203	0.5297202797202797	0.3461538461538461	0.173076923076923	0.173076923076923	0.2587412587412587	0.1835664335664335	0.3041958041958042	minc
Minc3s00079g03810	SP(Sec/SPI)	0.957107	0.042893	CS pos: 21-22. VLA-DQ. Pr: 0.9080	0.04	0.04	0	i	1	Extracellular	0.0024	0.0001	0.0009	0.8251	0.0008	0.0001	0.1582	0.0	0.0009	0.0139	0.0	112	12754.362699999983	26.267857142857142	0.9952671058714748	0.1634178905206942	0.73543391188251	0.175	4.494509315490721	-8.716539517011501	8480	0.2142857142857143	0.5535714285714286	0.3839285714285714	0.1428571428571428	0.5535714285714286	0.4464285714285714	0.25	0.0982142857142857	0.1517857142857143	0.3928571428571428	0.1517857142857142	0.2857142857142857	minc
Minc3s00083g03967	SP(Sec/SPI)	0.997744	0.002256	CS pos: 25-26. VST-DN. Pr: 0.3767	13.22	13.22	1	i13-35o	1	Extracellular	0.0002	0.0	0.0	0.9876	0.0	0.0	0.0003	0.0	0.0	0.0121	0.0	87	9322.4431	52.77827586206894	0.9888972832722832	0.0789198606271776	0.7497909407665505	0.0620689655172415	8.215738105773926	1.0172926958716708	16765	0.4597701149425287	0.7126436781609196	0.1494252873563218	0.2068965517241379	0.7126436781609196	0.2873563218390805	0.1149425287356321	0.0689655172413793	0.0459770114942528	0.3448275862068966	0.3793103448275862	0.1494252873563218	minc
Minc3s00083g03979	SP(Sec/SPI)	0.995394	0.004606	CS pos: 22-23. LHA-DP. Pr: 0.8567	0.00	0.00	0	o	1	Extracellular	0.009	0.0013	0.0013	0.8252	0.0039	0.0018	0.1604	0.0001	0.0015	0.0045	0.0	534	57683.3050000001	25.41573033707864	1.0234191609977326	-0.9030785849311368	0.6872589792060493	-0.8951310861423203	8.832829475402832	6.437392960189868	7115	0.2696629213483146	0.4344569288389514	0.2659176029962547	0.0543071161048689	0.4344569288389514	0.5655430711610486	0.346441947565543	0.1947565543071161	0.1516853932584269	0.2059925093632958	0.2808988764044944	0.2602996254681648	minc
